"rule","size","brier"
"extremized",1,0.463462
"hd_trim",1,0.416111
"mean",1,0.416111
"median",1,0.416111
"extremized",2,0.401697
"hd_trim",2,0.357709
"mean",2,0.357709
"median",2,0.357709
"extremized",3,0.370686
"hd_trim",3,0.36283
"mean",3,0.33564
"median",3,0.345622
"extremized",5,0.322879
"hd_trim",5,0.329269
"mean",5,0.316145
"median",5,0.314502
"extremized",10,0.267068
"hd_trim",10,0.286585
"mean",10,0.300347
"median",10,0.284113
"extremized",25,0.230018
"hd_trim",25,0.253966
"mean",25,0.294186
"median",25,0.271236
"extremized",50,0.213407
"hd_trim",50,0.240955
"mean",50,0.292003
"median",50,0.265803
"extremized",100,0.206813
"hd_trim",100,0.23355
"mean",100,0.290515
"median",100,0.26246
