"rule","brier"
"extremized@1.00",0.267601
"extremized@1.25",0.250942
"extremized@1.50",0.241589
"extremized@2.00",0.235366
"extremized@2.50",0.237222
"extremized@3.00",0.242167
"hd_trim@0.05",0.296564
"hd_trim@0.10",0.286067
"hd_trim@0.20",0.281169
"hd_trim@0.30",0.272354
"hd_trim@0.40",0.271368
"hd_trim@0.50",0.278072
"select_crowd_k10",0.23309
"select_crowd_k20",0.239056
"select_crowd_k40",0.24137
"select_crowd_k5",0.24778
"select_crowd_k80",0.253707
"soften_mean@0.05",0.298212
"soften_mean@0.10",0.289121
"soften_mean@0.20",0.278068
"soften_mean@0.30",0.273834
"soften_mean@0.40",0.274877
"trimmed_mean@0.05",0.306633
"trimmed_mean@0.10",0.303426
"trimmed_mean@0.20",0.299846
"trimmed_mean@0.30",0.298032
"trimmed_mean@0.40",0.29714
"trimmed_mean@0.45",0.297893
